"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.ID","Gene.symbol","Gene.title"
"ILMN_1718285","ILMN_1718285",4.82839861803769e-05,2.13334450494309e-09,10.5035520130177,11.4852089971718,2.91643616275667,"3224","HOXC8","homeobox C8"
"ILMN_1799759","ILMN_1799759",8.45056954600349e-05,1.35461509670365e-08,9.37108607588242,9.81889774323438,3.12729861384491,"2719","GPC3","glypican 3"
"ILMN_1854469","ILMN_1854469",8.45056954600349e-05,1.73951307694728e-08,9.22453772901403,9.59051540698833,2.00457259211865,"80114","BICC1","BicC family RNA binding protein 1"
"ILMN_1694130","ILMN_1694130",8.45056954600349e-05,2.39816657464898e-08,9.03857745711752,9.29634243828621,4.30044677243389,"5010","CLDN11","claudin 11"
"ILMN_1757387","ILMN_1757387",8.45056954600349e-05,2.56597054132341e-08,8.99971954578109,9.2342495863406,2.5014655580294,"7345","UCHL1","ubiquitin C-terminal hydrolase L1"
"ILMN_1798984","ILMN_1798984",8.45056954600349e-05,2.74705384884857e-08,8.96064802045246,9.17159691518148,2.01980344303157,"51339","DACT1","dishevelled binding antagonist of beta catenin 1"
"ILMN_1751879","ILMN_1751879",8.45056954600349e-05,2.74930560694718e-08,8.96017921434959,9.17084383440395,3.41219996139306,"3290","HSD11B1","hydroxysteroid 11-beta dehydrogenase 1"
"ILMN_1804339","ILMN_1804339",8.45056954600349e-05,2.99906986033156e-08,8.91051624236512,9.09088690891733,2.19675779226997,"57172","CAMK1G","calcium/calmodulin dependent protein kinase IG"
"ILMN_1685433","ILMN_1685433",0.000119446032773625,6.2077144616904e-08,8.50173928369157,8.41913028312969,4.70886574167776,"1295","COL8A1","collagen type VIII alpha 1 chain"
"ILMN_1811370","ILMN_1811370",0.000119446032773625,6.33995445838398e-08,8.49007030809539,8.39959406990529,2.63660914727078,"3290","HSD11B1","hydroxysteroid 11-beta dehydrogenase 1"
"ILMN_1773006","ILMN_1773006",0.000119446032773625,6.86077155506177e-08,8.44645122156892,8.32638834587047,2.59677328120466,"2167","FABP4","fatty acid binding protein 4"
"ILMN_1655348","ILMN_1655348",0.000120426714177592,7.44918481193958e-08,8.40113218499103,8.25003059274913,2.60373754685105,"2825","GPR1","G protein-coupled receptor 1"
"ILMN_1714691","ILMN_1714691",0.000121841828438338,8.07505600925668e-08,-8.35684077240562,8.17510917752989,-2.25389614005961,"3236","HOXD10","homeobox D10"
"ILMN_1746341","ILMN_1746341",0.000146684602727677,1.14722046710595e-07,8.16566335748485,7.84835994358893,2.69519263085833,"8324","FZD7","frizzled class receptor 7"
"ILMN_1716815","ILMN_1716815",0.000146684602727677,1.3038790580181e-07,-8.09661401210002,7.72899696677056,-2.55001746194094,"634","CEACAM1","carcinoembryonic antigen related cell adhesion molecule 1"
"ILMN_1713347","ILMN_1713347",0.000146684602727677,1.33036166851226e-07,8.08579802219328,7.71023474145894,3.16005082075133,"10752","CHL1","cell adhesion molecule L1 like"
"ILMN_1800512","ILMN_1800512",0.000146684602727677,1.33967447397713e-07,8.08204753575208,7.70372474974887,3.14208668719425,"3162","HMOX1","heme oxygenase 1"
"ILMN_1706498","ILMN_1706498",0.000146684602727677,1.36101120367659e-07,8.07355578636413,7.68897716654629,2.16564900270814,"29940","DSE","dermatan sulfate epimerase"
"ILMN_1684401","ILMN_1684401",0.000159971664964481,1.69633718868358e-07,7.95572295679201,7.48321359405856,2.84685293485697,"2326","FMO1","flavin containing monooxygenase 1"
"ILMN_1738132","ILMN_1738132",0.000160100306495294,1.76843885582219e-07,-7.93356242533587,7.44428154051225,-2.52710469136392,"3207","HOXA11","homeobox A11"
"ILMN_1692056","ILMN_1692056",0.00021948959816256,2.81235291243505e-07,7.68889323830837,7.00948754813939,2.96279230660663,"9955","HS3ST3A1","heparan sulfate-glucosamine 3-sulfotransferase 3A1"
"ILMN_1796925","ILMN_1796925",0.00024387071969577,3.3402519818711e-07,-7.5992259302025,6.8478618488462,-2.76249786719899,"1525","CXADR","coxsackie virus and adenovirus receptor"
"ILMN_1671478","ILMN_1671478",0.000277200462283297,4.06663742615052e-07,-7.49734348752116,6.66273063559891,-2.82089416040035,"1152","CKB","creatine kinase B"
"ILMN_1688877","ILMN_1688877",0.000277200462283297,4.16419198410821e-07,7.4851178697566,6.64040899831364,3.51687243153171,"9077","DIRAS3","DIRAS family GTPase 3"
"ILMN_1713499","ILMN_1713499",0.000286583798592453,4.94824145363218e-07,7.3964614010946,6.47785710139254,2.68845063182128,"8840","WISP1","WNT1 inducible signaling pathway protein 1"
"ILMN_1672776","ILMN_1672776",0.000286583798592453,5.17460214093352e-07,7.37356218147993,6.43567649952453,4.32463792431393,"1300","COL10A1","collagen type X alpha 1 chain"
"ILMN_1777397","ILMN_1777397",0.000287213384889508,5.32981141048882e-07,-7.35845243555453,6.40780040193606,-3.56740674107984,"4487","MSX1","msh homeobox 1"
"ILMN_1679262","ILMN_1679262",0.000295041801677704,6.1268787517572e-07,7.28740839337525,6.27626414000547,2.83291360419969,"1809","DPYSL3","dihydropyrimidinase like 3"
"ILMN_1724533","ILMN_1724533",0.000310944041573183,7.14403312057859e-07,7.20951404949725,6.13116112139705,2.3504993767223,"23643","LY96","lymphocyte antigen 96"
"ILMN_1655595","ILMN_1655595",0.000338210395503908,8.64856076804806e-07,7.11316524915076,5.95040417138303,2.85813198373864,"5270","SERPINE2","serpin family E member 2"
"ILMN_1689336","ILMN_1689336",0.000338210395503908,8.84109672489804e-07,-7.10210558961933,5.92956529914597,-2.91690096528561,"3206","HOXA10","homeobox A10"
"ILMN_1667692","ILMN_1667692",0.000338210395503908,8.96594518191776e-07,7.09506635561481,5.91629214550001,3.78007948311006,"5740","PTGIS","prostaglandin I2 (prostacyclin) synthase"
"ILMN_1700081","ILMN_1700081",0.000379493985802425,1.10664088114523e-06,6.98980759734661,5.71692144071295,2.80203280457715,"10468","FST","follistatin"
"ILMN_1678535","ILMN_1678535",0.000385209685833814,1.14032823535835e-06,-6.97487212805143,5.68849642702482,-2.9387795096304,"2099","ESR1","estrogen receptor 1"
"ILMN_1668052","ILMN_1668052",0.000406227413392176,1.2384434906579e-06,-6.93383937392968,5.61023012630646,-4.63427606803723,"3170","FOXA2","forkhead box A2"
"ILMN_1656560","ILMN_1656560",0.000416061672119523,1.30519059428649e-06,-6.90780168025976,5.56043400013375,-2.1165584386848,"25849","PARM1","prostate androgen-regulated mucin-like protein 1"
"ILMN_1880012","ILMN_1880012",0.000421894538889297,1.37941041301674e-06,-6.88041741854572,5.50795258401423,-2.09960700770827,"9037","SEMA5A","semaphorin 5A"
"ILMN_1810910","ILMN_1810910",0.00043332785523913,1.4359381939175e-06,6.86056310823604,5.46983173080157,3.35665424494743,"3075","CFH","complement factor H"
"ILMN_1795838","ILMN_1795838",0.000483380632435899,1.70571746175259e-06,-6.77574690306182,5.30631708321396,-2.29173460009465,"55286","C4orf19","chromosome 4 open reading frame 19"
"ILMN_1732962","ILMN_1732962",0.000483380632435899,1.72994438330349e-06,-6.76882004150816,5.29291549827194,-3.37052762745634,"57481","KIAA1210","KIAA1210"
"ILMN_1657803","ILMN_1657803",0.000509675120726289,1.85837164104016e-06,6.73369697183963,5.2248518944996,2.63898299864074,"3075","CFH","complement factor H"
"ILMN_1678536","ILMN_1678536",0.000509675120726289,1.88927581554359e-06,6.72561918442206,5.20917229784414,2.2910902481612,"261729","STEAP2","STEAP2 metalloreductase"
"ILMN_1716247","ILMN_1716247",0.00051712222323443,2.07918182805342e-06,6.67879264294861,5.11808752478661,2.09173324191497,"387758","FIBIN","fin bud initiation factor homolog (zebrafish)"
"ILMN_1803367","ILMN_1803367",0.000524450306691474,2.13181762097891e-06,-6.666593625694,5.09430520051579,-2.16203805687533,"2122","MECOM","MDS1 and EVI1 complex locus"
"ILMN_1754635","ILMN_1754635",0.00059613994081887,2.47590484853859e-06,-6.59378249444752,4.95190078221152,-2.26169675065903,"92359","CRB3","crumbs 3, cell polarity complex component"
"ILMN_1771482","ILMN_1771482",0.000696660600832045,3.20119747654013e-06,-6.4695556077327,4.70714148403199,-4.25260354990063,"57535","KIAA1324","KIAA1324"
"ILMN_1790555","ILMN_1790555",0.000721498632205571,3.50659875149617e-06,-6.42573121171776,4.62026028413185,-2.35779397265771,"57639","CCDC146","coiled-coil domain containing 146"
"ILMN_1737715","ILMN_1737715",0.000804799821040903,4.30260143798653e-06,-6.3277808787729,4.42507573123054,-2.0471711734748,"116039","OSR2","odd-skipped related transciption factor 2"
"ILMN_1703572","ILMN_1703572",0.000821331449645556,4.44791060039246e-06,-6.3119339548642,4.39336884774665,-2.2591393734257,"64881","PCDH20","protocadherin 20"
"ILMN_1766955","ILMN_1766955",0.000821331449645556,4.47971089461142e-06,6.30853704839004,4.38656759389326,2.20234353549913,"7412","VCAM1","vascular cell adhesion molecule 1"
"ILMN_1680507","ILMN_1680507",0.000833477230669917,4.76105570687257e-06,-6.27952247540689,4.32840820452085,-2.94254471912369,"5522","PPP2R2C","protein phosphatase 2 regulatory subunit Bgamma"
"ILMN_1704665","ILMN_1704665",0.000958277677903483,5.71587887230902e-06,-6.19276602078266,4.15379798524542,-2.39699566669849,"2824","GPM6B","glycoprotein M6B"
"ILMN_1748538","ILMN_1748538",0.000963569145388255,5.91481327222536e-06,-6.1765780968205,4.12110077965608,-2.71698953914569,"8854","ALDH1A2","aldehyde dehydrogenase 1 family member A2"
"ILMN_1746658","ILMN_1746658",0.000963569145388255,6.09055915208192e-06,-6.16273636406199,4.09311363957923,-3.08073557260907,"6096","RORB","RAR related orphan receptor B"
"ILMN_1752935","ILMN_1752935",0.000963569145388255,6.38604567703081e-06,-6.14036470647513,4.04782337345771,-2.26294186627411,"161291","TMEM30B","transmembrane protein 30B"
"ILMN_1781745","ILMN_1781745",0.00102505901928721,7.06531202265741e-06,-6.09273176288297,3.95116307208961,-4.17710796376054,"401546","C9orf152","chromosome 9 open reading frame 152"
"ILMN_1689146","ILMN_1689146",0.00110105747395738,7.98660043611395e-06,-6.03515429378435,3.83390844652179,-4.46179860365419,"2568","GABRP","gamma-aminobutyric acid type A receptor pi subunit"
"ILMN_1796461","ILMN_1796461",0.00110105747395738,8.02697314553829e-06,-6.03278980052485,3.82908361397776,-4.04627080035724,"5652","PRSS8","protease, serine 8"
